,header,Length,%GC
0,>lcl|CP031558.1_cds_1,3872,0.18
44,>lcl|CP031558.1_cds_AYJ07858.1_45,1578,0.31
45,>lcl|CP031558.1_cds_AYJ07859.1_46,972,0.31
46,>lcl|CP031558.1_cds_AYJ07860.1_47,339,0.31
47,>lcl|CP031558.1_cds_AYJ07861.1_48,2421,0.31
48,>lcl|CP031558.1_cds_AYJ07862.1_49,513,0.31
49,>lcl|CP031558.1_cds_AYJ07863.1_50,1176,0.31
50,>lcl|CP031558.1_cds_AYJ07864.1_51,927,0.31
51,>lcl|CP031558.1_cds_AYJ07865.1_52,936,0.31
52,>lcl|CP031558.1_cds_AYJ07866.1_53,411,0.31
53,>lcl|CP031558.1_cds_AYJ07867.1_54,3000,0.31
54,>lcl|CP031558.1_cds_AYJ07868.1_55,504,0.31
55,>lcl|CP031558.1_cds_AYJ07869.1_56,1239,0.31
56,>lcl|CP031558.1_cds_AYJ07870.1_57,858,0.31
57,>lcl|CP031558.1_cds_AYJ07871.1_58,390,0.32
58,>lcl|CP031558.1_cds_AYJ07872.1_59,243,0.32
59,>lcl|CP031558.1_cds_AYJ07873.1_60,1083,0.32
60,>lcl|CP031558.1_cds_AYJ07874.1_61,1845,0.32
61,>lcl|CP031558.1_cds_AYJ07875.1_62,126,0.32
62,>lcl|CP031558.1_cds_AYJ07876.1_63,330,0.32
63,>lcl|CP031558.1_cds_AYJ07877.1_64,486,0.32
64,>lcl|CP031558.1_cds_AYJ07878.1_65,423,0.32
65,>lcl|CP031558.1_cds_AYJ07879.1_66,1167,0.32
66,>lcl|CP031558.1_cds_AYJ07880.1_67,1002,0.32
67,>lcl|CP031558.1_cds_AYJ07881.1_68,597,0.32
68,>lcl|CP031558.1_cds_AYJ07882.1_69,816,0.32
69,>lcl|CP031558.1_cds_AYJ07883.1_70,1776,0.32
70,>lcl|CP031558.1_cds_AYJ07884.1_71,444,0.32
71,>lcl|CP031558.1_cds_AYJ07885.1_72,627,0.32
72,>lcl|CP031558.1_cds_AYJ07886.1_73,558,0.32
73,>lcl|CP031558.1_cds_AYJ07887.1_74,594,0.32
74,>lcl|CP031558.1_cds_AYJ07888.1_75,495,0.32
75,>lcl|CP031558.1_cds_AYJ07889.1_76,945,0.32
76,>lcl|CP031558.1_cds_AYJ07890.1_77,1119,0.32
77,>lcl|CP031558.1_cds_AYJ07891.1_78,765,0.32
78,>lcl|CP031558.1_cds_AYJ07892.1_79,621,0.32
79,>lcl|CP031558.1_cds_AYJ07893.1_80,273,0.32
80,>lcl|CP031558.1_cds_81,982,0.32
81,>lcl|CP031558.1_cds_AYJ07894.1_82,648,0.32
82,>lcl|CP031558.1_cds_AYJ07895.1_83,432,0.33
83,>lcl|CP031558.1_cds_AYJ07896.1_84,663,0.33
84,>lcl|CP031558.1_cds_AYJ07897.1_85,1011,0.33
85,>lcl|CP031558.1_cds_AYJ07898.1_86,789,0.33
86,>lcl|CP031558.1_cds_AYJ07899.1_87,924,0.33
87,>lcl|CP031558.1_cds_AYJ07900.1_88,1026,0.33
88,>lcl|CP031558.1_cds_AYJ07901.1_89,789,0.33
89,>lcl|CP031558.1_cds_AYJ07902.1_90,762,0.33
90,>lcl|CP031558.1_cds_AYJ07903.1_91,417,0.33
91,>lcl|CP031558.1_cds_AYJ07904.1_92,471,0.33
92,>lcl|CP031558.1_cds_AYJ07905.1_93,831,0.33
93,>lcl|CP031558.1_cds_AYJ07906.1_94,666,0.33
94,>lcl|CP031558.1_cds_AYJ07907.1_95,684,0.33
95,>lcl|CP031558.1_cds_AYJ07908.1_96,831,0.33
96,>lcl|CP031558.1_cds_AYJ07909.1_97,189,0.33
97,>lcl|CP031558.1_cds_AYJ07910.1_98,2106,0.33
98,>lcl|CP031558.1_cds_AYJ07911.1_99,1641,0.33
99,>lcl|CP031558.1_cds_AYJ07912.1_100,357,0.33
100,>lcl|CP031558.1_cds_AYJ07913.1_101,1680,0.33
101,>lcl|CP031558.1_cds_AYJ07914.1_102,1053,0.33
102,>lcl|CP031558.1_cds_AYJ07915.1_103,828,0.33
103,>lcl|CP031558.1_cds_AYJ07916.1_104,282,0.33
104,>lcl|CP031558.1_cds_AYJ07917.1_105,264,0.33
105,>lcl|CP031558.1_cds_AYJ07918.1_106,2364,0.33
106,>lcl|CP031558.1_cds_AYJ07919.1_107,1410,0.33
107,>lcl|CP031558.1_cds_AYJ07920.1_108,966,0.33
108,>lcl|CP031558.1_cds_AYJ07921.1_109,1218,0.33
109,>lcl|CP031558.1_cds_AYJ07922.1_110,573,0.33
110,>lcl|CP031558.1_cds_AYJ07923.1_111,1566,0.33
111,>lcl|CP031558.1_cds_AYJ09147.1_112,120,0.34
112,>lcl|CP031558.1_cds_113,254,0.34
113,>lcl|CP031558.1_cds_AYJ07924.1_114,2070,0.34
114,>lcl|CP031558.1_cds_115,188,0.34
115,>lcl|CP031558.1_cds_AYJ09148.1_116,393,0.34
116,>lcl|CP031558.1_cds_AYJ07925.1_117,828,0.34
117,>lcl|CP031558.1_cds_AYJ07926.1_118,2496,0.34
118,>lcl|CP031558.1_cds_AYJ07927.1_119,663,0.34
119,>lcl|CP031558.1_cds_AYJ09149.1_120,390,0.34
120,>lcl|CP031558.1_cds_AYJ07928.1_121,174,0.34
121,>lcl|CP031558.1_cds_AYJ07929.1_122,480,0.34
122,>lcl|CP031558.1_cds_AYJ07930.1_123,813,0.34
123,>lcl|CP031558.1_cds_AYJ07931.1_124,1347,0.34
124,>lcl|CP031558.1_cds_AYJ07932.1_125,1044,0.34
125,>lcl|CP031558.1_cds_AYJ07933.1_126,747,0.34
126,>lcl|CP031558.1_cds_AYJ07934.1_127,2904,0.34
127,>lcl|CP031558.1_cds_128,2455,0.34
128,>lcl|CP031558.1_cds_AYJ07935.1_129,642,0.34
129,>lcl|CP031558.1_cds_AYJ07936.1_130,1188,0.34
130,>lcl|CP031558.1_cds_AYJ07937.1_131,1395,0.34
131,>lcl|CP031558.1_cds_AYJ07938.1_132,1467,0.34
132,>lcl|CP031558.1_cds_AYJ09150.1_133,1254,0.34
133,>lcl|CP031558.1_cds_AYJ07939.1_134,885,0.34
134,>lcl|CP031558.1_cds_AYJ07940.1_135,552,0.34
135,>lcl|CP031558.1_cds_AYJ07941.1_136,504,0.34
136,>lcl|CP031558.1_cds_AYJ07942.1_137,807,0.34
137,>lcl|CP031558.1_cds_AYJ07943.1_138,1011,0.34
138,>lcl|CP031558.1_cds_AYJ07944.1_139,822,0.34
139,>lcl|CP031558.1_cds_AYJ07945.1_140,2394,0.34
140,>lcl|CP031558.1_cds_141,840,0.34
141,>lcl|CP031558.1_cds_AYJ07946.1_142,1080,0.34
142,>lcl|CP031558.1_cds_AYJ07947.1_143,894,0.34
143,>lcl|CP031558.1_cds_AYJ07948.1_144,219,0.34
144,>lcl|CP031558.1_cds_AYJ07949.1_145,1380,0.34
145,>lcl|CP031558.1_cds_AYJ07950.1_146,1164,0.34
146,>lcl|CP031558.1_cds_AYJ07951.1_147,702,0.34
147,>lcl|CP031558.1_cds_AYJ07952.1_148,702,0.34
148,>lcl|CP031558.1_cds_AYJ07953.1_149,993,0.34
149,>lcl|CP031558.1_cds_AYJ07954.1_150,1209,0.34
150,>lcl|CP031558.1_cds_AYJ07955.1_151,963,0.34
151,>lcl|CP031558.1_cds_AYJ07956.1_152,729,0.34
152,>lcl|CP031558.1_cds_AYJ07957.1_153,699,0.34
153,>lcl|CP031558.1_cds_154,891,0.34
154,>lcl|CP031558.1_cds_AYJ07958.1_155,1491,0.34
155,>lcl|CP031558.1_cds_AYJ07959.1_156,3558,0.34
156,>lcl|CP031558.1_cds_AYJ07960.1_157,210,0.35
157,>lcl|CP031558.1_cds_AYJ09151.1_158,192,0.35
158,>lcl|CP031558.1_cds_159,366,0.35
159,>lcl|CP031558.1_cds_160,653,0.35
160,>lcl|CP031558.1_cds_161,839,0.35
161,>lcl|CP031558.1_cds_162,390,0.35
162,>lcl|CP031558.1_cds_163,569,0.35
163,>lcl|CP031558.1_cds_AYJ07961.1_164,261,0.35
164,>lcl|CP031558.1_cds_165,1354,0.35
165,>lcl|CP031558.1_cds_AYJ07962.1_166,426,0.35
166,>lcl|CP031558.1_cds_AYJ07963.1_167,348,0.35
167,>lcl|CP031558.1_cds_168,360,0.35
168,>lcl|CP031558.1_cds_169,1793,0.35
169,>lcl|CP031558.1_cds_AYJ07964.1_170,786,0.35
170,>lcl|CP031558.1_cds_AYJ07965.1_171,600,0.35
171,>lcl|CP031558.1_cds_AYJ07966.1_172,771,0.35
172,>lcl|CP031558.1_cds_AYJ07967.1_173,513,0.35
173,>lcl|CP031558.1_cds_AYJ07968.1_174,588,0.35
174,>lcl|CP031558.1_cds_AYJ07969.1_175,1710,0.35
175,>lcl|CP031558.1_cds_AYJ07970.1_176,717,0.35
176,>lcl|CP031558.1_cds_AYJ07971.1_177,474,0.35
177,>lcl|CP031558.1_cds_AYJ07972.1_178,1338,0.35
178,>lcl|CP031558.1_cds_AYJ07973.1_179,270,0.35
179,>lcl|CP031558.1_cds_AYJ07974.1_180,1059,0.35
180,>lcl|CP031558.1_cds_AYJ07975.1_181,183,0.35
181,>lcl|CP031558.1_cds_182,259,0.35
182,>lcl|CP031558.1_cds_183,1744,0.35
183,>lcl|CP031558.1_cds_AYJ07976.1_184,1779,0.35
184,>lcl|CP031558.1_cds_AYJ07977.1_185,2022,0.35
185,>lcl|CP031558.1_cds_AYJ07978.1_186,390,0.35
186,>lcl|CP031558.1_cds_AYJ07979.1_187,426,0.35
187,>lcl|CP031558.1_cds_AYJ07980.1_188,189,0.35
188,>lcl|CP031558.1_cds_AYJ07981.1_189,1353,0.35
189,>lcl|CP031558.1_cds_AYJ07982.1_190,1374,0.35
190,>lcl|CP031558.1_cds_AYJ07983.1_191,2034,0.35
191,>lcl|CP031558.1_cds_192,659,0.35
192,>lcl|CP031558.1_cds_AYJ07984.1_193,294,0.35
193,>lcl|CP031558.1_cds_194,1528,0.35
194,>lcl|CP031558.1_cds_AYJ07985.1_195,303,0.35
195,>lcl|CP031558.1_cds_AYJ07986.1_196,267,0.35
196,>lcl|CP031558.1_cds_197,233,0.35
197,>lcl|CP031558.1_cds_198,2154,0.35
198,>lcl|CP031558.1_cds_AYJ07987.1_199,282,0.35
199,>lcl|CP031558.1_cds_AYJ07988.1_200,1026,0.35
200,>lcl|CP031558.1_cds_AYJ07989.1_201,255,0.35
201,>lcl|CP031558.1_cds_202,189,0.35
202,>lcl|CP031558.1_cds_AYJ07990.1_203,141,0.35
203,>lcl|CP031558.1_cds_AYJ07991.1_204,861,0.35
204,>lcl|CP031558.1_cds_AYJ07992.1_205,351,0.35
205,>lcl|CP031558.1_cds_AYJ07993.1_206,195,0.35
206,>lcl|CP031558.1_cds_AYJ07994.1_207,612,0.35
207,>lcl|CP031558.1_cds_AYJ07995.1_208,1839,0.35
208,>lcl|CP031558.1_cds_AYJ07996.1_209,132,0.35
209,>lcl|CP031558.1_cds_AYJ07997.1_210,2439,0.35
210,>lcl|CP031558.1_cds_AYJ07998.1_211,1278,0.35
211,>lcl|CP031558.1_cds_AYJ07999.1_212,927,0.35
212,>lcl|CP031558.1_cds_AYJ08000.1_213,2211,0.35
213,>lcl|CP031558.1_cds_AYJ08001.1_214,1545,0.35
214,>lcl|CP031558.1_cds_AYJ08002.1_215,1887,0.35
215,>lcl|CP031558.1_cds_AYJ08003.1_216,297,0.35
216,>lcl|CP031558.1_cds_AYJ08004.1_217,639,0.35
217,>lcl|CP031558.1_cds_AYJ08005.1_218,831,0.35
218,>lcl|CP031558.1_cds_AYJ08006.1_219,576,0.35
219,>lcl|CP031558.1_cds_AYJ08007.1_220,1863,0.36
220,>lcl|CP031558.1_cds_AYJ08008.1_221,921,0.36
221,>lcl|CP031558.1_cds_AYJ08009.1_222,1143,0.36
222,>lcl|CP031558.1_cds_AYJ09152.1_223,453,0.36
223,>lcl|CP031558.1_cds_AYJ08010.1_224,1746,0.36
224,>lcl|CP031558.1_cds_AYJ08011.1_225,1698,0.36
225,>lcl|CP031558.1_cds_AYJ08012.1_226,783,0.36
226,>lcl|CP031558.1_cds_AYJ08013.1_227,762,0.36
227,>lcl|CP031558.1_cds_AYJ08014.1_228,1107,0.36
228,>lcl|CP031558.1_cds_AYJ08015.1_229,2028,0.36
229,>lcl|CP031558.1_cds_AYJ08016.1_230,1461,0.36
230,>lcl|CP031558.1_cds_AYJ08017.1_231,711,0.36
231,>lcl|CP031558.1_cds_AYJ08018.1_232,945,0.36
232,>lcl|CP031558.1_cds_AYJ08019.1_233,531,0.36
233,>lcl|CP031558.1_cds_AYJ08020.1_234,456,0.36
234,>lcl|CP031558.1_cds_AYJ08021.1_235,441,0.36
235,>lcl|CP031558.1_cds_AYJ08022.1_236,834,0.36
236,>lcl|CP031558.1_cds_AYJ08023.1_237,834,0.36
237,>lcl|CP031558.1_cds_AYJ08024.1_238,930,0.36
238,>lcl|CP031558.1_cds_AYJ08025.1_239,696,0.36
239,>lcl|CP031558.1_cds_240,844,0.36
240,>lcl|CP031558.1_cds_AYJ08026.1_241,189,0.36
241,>lcl|CP031558.1_cds_AYJ08027.1_242,684,0.36
242,>lcl|CP031558.1_cds_AYJ09153.1_243,387,0.36
243,>lcl|CP031558.1_cds_AYJ08028.1_244,267,0.36
244,>lcl|CP031558.1_cds_245,198,0.36
245,>lcl|CP031558.1_cds_AYJ09154.1_246,870,0.36
246,>lcl|CP031558.1_cds_AYJ08029.1_247,225,0.36
247,>lcl|CP031558.1_cds_248,1363,0.36
248,>lcl|CP031558.1_cds_AYJ08030.1_249,1242,0.36
249,>lcl|CP031558.1_cds_AYJ08031.1_250,1350,0.36
250,>lcl|CP031558.1_cds_AYJ08032.1_251,135,0.36
251,>lcl|CP031558.1_cds_AYJ08033.1_252,459,0.36
252,>lcl|CP031558.1_cds_AYJ08034.1_253,636,0.36
253,>lcl|CP031558.1_cds_AYJ08035.1_254,1446,0.36
254,>lcl|CP031558.1_cds_AYJ08036.1_255,729,0.36
255,>lcl|CP031558.1_cds_AYJ08037.1_256,1647,0.36
256,>lcl|CP031558.1_cds_AYJ08038.1_257,1656,0.36
257,>lcl|CP031558.1_cds_AYJ08039.1_258,987,0.36
258,>lcl|CP031558.1_cds_AYJ08040.1_259,1449,0.36
259,>lcl|CP031558.1_cds_AYJ08041.1_260,1467,0.36
260,>lcl|CP031558.1_cds_AYJ08042.1_261,699,0.36
261,>lcl|CP031558.1_cds_AYJ08043.1_262,222,0.36
262,>lcl|CP031558.1_cds_AYJ08044.1_263,879,0.36
263,>lcl|CP031558.1_cds_AYJ08045.1_264,207,0.36
264,>lcl|CP031558.1_cds_AYJ08046.1_265,585,0.36
265,>lcl|CP031558.1_cds_AYJ08047.1_266,582,0.36
266,>lcl|CP031558.1_cds_AYJ08048.1_267,768,0.36
267,>lcl|CP031558.1_cds_AYJ08049.1_268,867,0.36
268,>lcl|CP031558.1_cds_AYJ08050.1_269,1044,0.36
269,>lcl|CP031558.1_cds_AYJ08051.1_270,1281,0.36
270,>lcl|CP031558.1_cds_AYJ08052.1_271,276,0.36
271,>lcl|CP031558.1_cds_AYJ08053.1_272,603,0.36
272,>lcl|CP031558.1_cds_AYJ08054.1_273,489,0.36
273,>lcl|CP031558.1_cds_AYJ08055.1_274,957,0.36
274,>lcl|CP031558.1_cds_AYJ08056.1_275,1134,0.36
275,>lcl|CP031558.1_cds_AYJ08057.1_276,918,0.36
276,>lcl|CP031558.1_cds_AYJ08058.1_277,723,0.36
277,>lcl|CP031558.1_cds_AYJ08059.1_278,972,0.36
278,>lcl|CP031558.1_cds_AYJ08060.1_279,1275,0.36
279,>lcl|CP031558.1_cds_AYJ08061.1_280,678,0.36
280,>lcl|CP031558.1_cds_AYJ08062.1_281,504,0.36
281,>lcl|CP031558.1_cds_AYJ08063.1_282,264,0.36
282,>lcl|CP031558.1_cds_AYJ08064.1_283,1281,0.36
283,>lcl|CP031558.1_cds_AYJ08065.1_284,732,0.36
284,>lcl|CP031558.1_cds_AYJ08066.1_285,1092,0.36
285,>lcl|CP031558.1_cds_286,1172,0.36
286,>lcl|CP031558.1_cds_AYJ08067.1_287,768,0.36
287,>lcl|CP031558.1_cds_AYJ08068.1_288,777,0.36
288,>lcl|CP031558.1_cds_289,220,0.36
289,>lcl|CP031558.1_cds_AYJ08069.1_290,900,0.36
290,>lcl|CP031558.1_cds_AYJ08070.1_291,924,0.36
291,>lcl|CP031558.1_cds_AYJ08071.1_292,564,0.36
292,>lcl|CP031558.1_cds_293,260,0.36
293,>lcl|CP031558.1_cds_294,1349,0.36
294,>lcl|CP031558.1_cds_AYJ08072.1_295,1233,0.36
295,>lcl|CP031558.1_cds_AYJ08073.1_296,1023,0.36
296,>lcl|CP031558.1_cds_AYJ08074.1_297,642,0.36
297,>lcl|CP031558.1_cds_AYJ08075.1_298,1278,0.36
298,>lcl|CP031558.1_cds_AYJ08076.1_299,702,0.36
299,>lcl|CP031558.1_cds_AYJ08077.1_300,1506,0.36
300,>lcl|CP031558.1_cds_AYJ08078.1_301,1251,0.36
301,>lcl|CP031558.1_cds_AYJ08079.1_302,543,0.36
302,>lcl|CP031558.1_cds_AYJ08080.1_303,810,0.36
303,>lcl|CP031558.1_cds_304,1706,0.36
304,>lcl|CP031558.1_cds_AYJ08081.1_305,534,0.36
305,>lcl|CP031558.1_cds_AYJ09155.1_306,1509,0.36
306,>lcl|CP031558.1_cds_AYJ08082.1_307,738,0.36
307,>lcl|CP031558.1_cds_AYJ08083.1_308,2145,0.36
308,>lcl|CP031558.1_cds_AYJ08084.1_309,768,0.36
309,>lcl|CP031558.1_cds_310,704,0.36
310,>lcl|CP031558.1_cds_AYJ08085.1_311,834,0.36
311,>lcl|CP031558.1_cds_AYJ08086.1_312,1011,0.36
312,>lcl|CP031558.1_cds_AYJ08087.1_313,1158,0.36
313,>lcl|CP031558.1_cds_AYJ08088.1_314,414,0.36
314,>lcl|CP031558.1_cds_AYJ08089.1_315,357,0.36
315,>lcl|CP031558.1_cds_AYJ08090.1_316,147,0.36
316,>lcl|CP031558.1_cds_AYJ08091.1_317,1023,0.37
317,>lcl|CP031558.1_cds_AYJ08092.1_318,993,0.37
318,>lcl|CP031558.1_cds_AYJ08093.1_319,303,0.37
319,>lcl|CP031558.1_cds_AYJ08094.1_320,384,0.37
320,>lcl|CP031558.1_cds_321,3047,0.37
321,>lcl|CP031558.1_cds_AYJ09156.1_322,1239,0.37
322,>lcl|CP031558.1_cds_AYJ08095.1_323,1029,0.37
323,>lcl|CP031558.1_cds_AYJ08096.1_324,120,0.37
324,>lcl|CP031558.1_cds_AYJ09157.1_325,1353,0.37
325,>lcl|CP031558.1_cds_AYJ08097.1_326,1866,0.37
326,>lcl|CP031558.1_cds_AYJ08098.1_327,753,0.37
327,>lcl|CP031558.1_cds_AYJ08099.1_328,1137,0.37
328,>lcl|CP031558.1_cds_AYJ08100.1_329,1866,0.37
329,>lcl|CP031558.1_cds_AYJ08101.1_330,1659,0.37
330,>lcl|CP031558.1_cds_AYJ08102.1_331,801,0.37
331,>lcl|CP031558.1_cds_AYJ08103.1_332,1107,0.37
332,>lcl|CP031558.1_cds_AYJ08104.1_333,300,0.37
333,>lcl|CP031558.1_cds_AYJ08105.1_334,822,0.37
334,>lcl|CP031558.1_cds_AYJ08106.1_335,552,0.37
335,>lcl|CP031558.1_cds_AYJ08107.1_336,462,0.37
336,>lcl|CP031558.1_cds_AYJ08108.1_337,135,0.37
337,>lcl|CP031558.1_cds_AYJ08109.1_338,1164,0.37
338,>lcl|CP031558.1_cds_AYJ08110.1_339,981,0.37
339,>lcl|CP031558.1_cds_AYJ08111.1_340,234,0.37
340,>lcl|CP031558.1_cds_AYJ08112.1_341,1371,0.37
341,>lcl|CP031558.1_cds_AYJ08113.1_342,1080,0.37
342,>lcl|CP031558.1_cds_343,272,0.37
343,>lcl|CP031558.1_cds_AYJ08114.1_344,834,0.37
344,>lcl|CP031558.1_cds_AYJ09158.1_345,2076,0.37
345,>lcl|CP031558.1_cds_AYJ08115.1_346,1158,0.37
346,>lcl|CP031558.1_cds_AYJ08116.1_347,1467,0.37
347,>lcl|CP031558.1_cds_AYJ08117.1_348,732,0.37
348,>lcl|CP031558.1_cds_AYJ08118.1_349,798,0.37
349,>lcl|CP031558.1_cds_AYJ09159.1_350,651,0.37
350,>lcl|CP031558.1_cds_AYJ08119.1_351,1173,0.37
351,>lcl|CP031558.1_cds_AYJ08120.1_352,531,0.37
352,>lcl|CP031558.1_cds_AYJ09160.1_353,75,0.37
353,>lcl|CP031558.1_cds_AYJ08121.1_354,1068,0.37
354,>lcl|CP031558.1_cds_AYJ08122.1_355,372,0.37
355,>lcl|CP031558.1_cds_AYJ08123.1_356,921,0.37
356,>lcl|CP031558.1_cds_AYJ08124.1_357,1734,0.37
357,>lcl|CP031558.1_cds_AYJ08125.1_358,1350,0.37
358,>lcl|CP031558.1_cds_AYJ08126.1_359,924,0.37
359,>lcl|CP031558.1_cds_AYJ08127.1_360,396,0.37
360,>lcl|CP031558.1_cds_AYJ08128.1_361,285,0.37
361,>lcl|CP031558.1_cds_AYJ08129.1_362,435,0.37
362,>lcl|CP031558.1_cds_AYJ08130.1_363,1146,0.37
363,>lcl|CP031558.1_cds_AYJ08131.1_364,318,0.37
364,>lcl|CP031558.1_cds_AYJ08132.1_365,1029,0.37
365,>lcl|CP031558.1_cds_AYJ08133.1_366,1479,0.37
366,>lcl|CP031558.1_cds_AYJ08134.1_367,1089,0.37
367,>lcl|CP031558.1_cds_AYJ08135.1_368,540,0.37
368,>lcl|CP031558.1_cds_AYJ08136.1_369,1551,0.37
369,>lcl|CP031558.1_cds_AYJ09161.1_370,1017,0.37
370,>lcl|CP031558.1_cds_AYJ08137.1_371,1467,0.37
371,>lcl|CP031558.1_cds_AYJ08138.1_372,1419,0.37
372,>lcl|CP031558.1_cds_AYJ08139.1_373,1236,0.37
373,>lcl|CP031558.1_cds_AYJ08140.1_374,429,0.37
374,>lcl|CP031558.1_cds_AYJ08141.1_375,672,0.37
375,>lcl|CP031558.1_cds_AYJ09162.1_376,1047,0.37
376,>lcl|CP031558.1_cds_AYJ08142.1_377,1263,0.37
377,>lcl|CP031558.1_cds_AYJ09163.1_378,1173,0.37
378,>lcl|CP031558.1_cds_AYJ08143.1_379,615,0.37
379,>lcl|CP031558.1_cds_AYJ08144.1_380,696,0.37
380,>lcl|CP031558.1_cds_AYJ08145.1_381,759,0.37
381,>lcl|CP031558.1_cds_AYJ08146.1_382,2571,0.37
382,>lcl|CP031558.1_cds_AYJ08147.1_383,723,0.37
383,>lcl|CP031558.1_cds_AYJ08148.1_384,1137,0.37
384,>lcl|CP031558.1_cds_AYJ08149.1_385,1230,0.37
385,>lcl|CP031558.1_cds_AYJ08150.1_386,243,0.37
386,>lcl|CP031558.1_cds_AYJ08151.1_387,1314,0.37
387,>lcl|CP031558.1_cds_AYJ08152.1_388,654,0.37
388,>lcl|CP031558.1_cds_AYJ08153.1_389,981,0.37
389,>lcl|CP031558.1_cds_AYJ09164.1_390,534,0.37
390,>lcl|CP031558.1_cds_AYJ08154.1_391,540,0.37
391,>lcl|CP031558.1_cds_AYJ08155.1_392,399,0.37
392,>lcl|CP031558.1_cds_AYJ08156.1_393,1293,0.37
393,>lcl|CP031558.1_cds_AYJ08157.1_394,561,0.37
394,>lcl|CP031558.1_cds_AYJ08158.1_395,255,0.37
395,>lcl|CP031558.1_cds_AYJ08159.1_396,1455,0.37
396,>lcl|CP031558.1_cds_AYJ08160.1_397,1011,0.37
397,>lcl|CP031558.1_cds_AYJ08161.1_398,987,0.37
398,>lcl|CP031558.1_cds_AYJ08162.1_399,1116,0.37
399,>lcl|CP031558.1_cds_AYJ08163.1_400,1443,0.37
400,>lcl|CP031558.1_cds_AYJ08164.1_401,1032,0.37
401,>lcl|CP031558.1_cds_AYJ08165.1_402,1572,0.37
402,>lcl|CP031558.1_cds_AYJ08166.1_403,1257,0.37
403,>lcl|CP031558.1_cds_AYJ08167.1_404,1653,0.37
404,>lcl|CP031558.1_cds_AYJ08168.1_405,519,0.37
405,>lcl|CP031558.1_cds_AYJ08169.1_406,474,0.37
406,>lcl|CP031558.1_cds_407,675,0.37
407,>lcl|CP031558.1_cds_AYJ08170.1_408,708,0.37
408,>lcl|CP031558.1_cds_AYJ08171.1_409,1218,0.37
409,>lcl|CP031558.1_cds_AYJ08172.1_410,291,0.37
410,>lcl|CP031558.1_cds_AYJ08173.1_411,873,0.37
411,>lcl|CP031558.1_cds_AYJ08174.1_412,1680,0.37
412,>lcl|CP031558.1_cds_AYJ08175.1_413,1020,0.37
413,>lcl|CP031558.1_cds_AYJ08176.1_414,2487,0.37
414,>lcl|CP031558.1_cds_AYJ08177.1_415,315,0.37
415,>lcl|CP031558.1_cds_AYJ08178.1_416,267,0.37
